combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
194,3,0.4,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
195,3,0.4,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
196,3,0.4,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
197,3,0.4,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
198,3,0.4,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
199,3,0.4,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
200,3,0.4,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
201,3,0.45,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
202,3,0.45,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
203,3,0.45,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
204,3,0.45,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
205,3,0.45,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
206,3,0.45,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
207,3,0.45,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
208,3,0.45,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
209,3,0.5,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
210,3,0.5,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
211,3,0.5,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
212,3,0.5,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
213,3,0.5,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
214,3,0.5,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
215,3,0.5,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
216,3,0.5,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
217,4,0.1,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
218,4,0.1,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
219,4,0.1,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
220,4,0.1,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
221,4,0.1,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
222,4,0.1,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
223,4,0.1,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
224,4,0.1,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
225,4,0.15,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
226,4,0.15,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
227,4,0.15,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
228,4,0.15,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
229,4,0.15,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
230,4,0.15,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
231,4,0.15,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
232,4,0.15,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
233,4,0.2,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
234,4,0.2,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
235,4,0.2,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
236,4,0.2,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
237,4,0.2,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
238,4,0.2,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
239,4,0.2,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
240,4,0.2,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
241,4,0.25,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
242,4,0.25,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
243,4,0.25,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
244,4,0.25,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
245,4,0.25,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
246,4,0.25,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
247,4,0.25,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
248,4,0.25,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
249,4,0.3,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
250,4,0.3,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
251,4,0.3,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
252,4,0.3,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
253,4,0.3,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
254,4,0.3,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
255,4,0.3,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
256,4,0.3,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
257,4,0.35,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
258,4,0.35,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
259,4,0.35,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
260,4,0.35,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
261,4,0.35,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
262,4,0.35,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
263,4,0.35,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
264,4,0.35,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
265,4,0.4,0.2,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
266,4,0.4,0.2,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
267,4,0.4,0.4,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
268,4,0.4,0.4,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
269,4,0.4,0.6,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
270,4,0.4,0.6,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
271,4,0.4,0.8,traditional,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
272,4,0.4,0.8,staggered,-3496.56,4203.779999999684,-0.83,188,45.74,8,-1.97
