combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
116,2,1.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
117,2,1.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
118,2,1.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
119,2,1.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
120,2,1.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
121,2,2.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
122,2,2.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
123,2,2.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
124,2,2.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
125,2,2.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
126,2,2.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
127,2,2.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
128,2,2.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
129,2,2.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
130,2,2.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
131,2,2.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
132,2,2.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
133,2,2.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
134,2,2.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
135,2,2.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
136,2,2.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
137,2,3.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
138,2,3.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
139,2,3.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
140,2,3.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
