combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
313,5,16.0,0.2,traditional,3414.5,2449.7499999997763,1.39,253,58.5,6,1.25
314,5,16.0,0.2,staggered,6884.5,2015.5499999998356,3.42,218,51.83,6,1.98
315,5,16.0,0.4,traditional,8058.6,3702.049999999763,2.18,254,46.85,8,1.79
316,5,16.0,0.4,staggered,7437.7,4269.749999999794,1.74,225,40.0,8,1.67
317,5,16.0,0.6,traditional,8302.7,3844.7499999998017,2.16,252,40.48,9,1.64
318,5,16.0,0.6,staggered,8731.8,3964.7499999997963,2.2,237,36.71,9,1.73
319,5,16.0,0.8,traditional,8936.8,4109.7499999998,2.17,252,36.11,9,1.67
320,5,16.0,0.8,staggered,9101.8,3899.7499999998,2.33,249,35.34,9,1.7
321,6,2.0,0.2,traditional,-1830.5,2298.7499999990378,-0.8,215,91.63,1,-0.8
322,6,2.0,0.2,staggered,-1240.5,1959.249999999376,-0.63,168,87.5,2,-0.21
323,6,2.0,0.4,traditional,-873.7,1669.3999999993393,-0.52,252,83.33,3,0.11
324,6,2.0,0.4,staggered,-70.5,1648.849999999782,-0.04,203,79.31,3,0.63
325,6,2.0,0.6,traditional,-349.5999999999999,1991.0499999997046,-0.18,246,77.64,3,0.36
326,6,2.0,0.6,staggered,-410.5,2005.1499999997077,-0.2,205,73.17,3,0.36
327,6,2.0,0.8,traditional,-248.70000000000005,3035.7499999996926,-0.08,254,72.44,5,0.36
328,6,2.0,0.8,staggered,-293.70000000000005,2965.74999999972,-0.1,237,70.46,5,0.35
329,6,4.0,0.2,traditional,-1480.5,2245.299999999246,-0.66,250,83.2,3,-0.26
330,6,4.0,0.2,staggered,-930.5,2244.6499999993666,-0.41,203,79.31,3,0.07
331,6,4.0,0.4,traditional,-719.5999999999999,2984.54999999946,-0.24,253,72.33,5,0.14
332,6,4.0,0.4,staggered,1770.4,2119.549999999539,0.84,208,66.35,5,1.19
333,6,4.0,0.6,traditional,1500.4,2389.7499999998654,0.63,252,64.29,5,0.86
334,6,4.0,0.6,staggered,1564.5,2404.7499999998636,0.65,216,58.33,5,0.93
335,6,4.0,0.8,traditional,1634.5,3129.7499999998527,0.52,255,60.0,5,0.82
336,6,4.0,0.8,staggered,1849.5,3039.7499999998536,0.61,239,57.32,5,0.9
337,6,6.0,0.2,traditional,-2210.5,2969.14999999902,-0.74,245,77.55,3,-0.61
338,6,6.0,0.2,staggered,-250.5,2045.1499999995576,-0.12,197,72.08,3,0.41
339,6,6.0,0.4,traditional,665.4000000000001,2771.2499999995425,0.24,252,63.89,5,0.56
340,6,6.0,0.4,staggered,1939.5,2144.749999999827,0.9,205,55.61,5,1.0
341,6,6.0,0.6,traditional,2214.5,3264.749999999811,0.68,254,57.87,5,0.9
342,6,6.0,0.6,staggered,2299.5,3314.7499999998454,0.69,223,52.02,5,0.95
343,6,6.0,0.8,traditional,3074.5,2922.7499999999054,1.05,255,51.37,6,1.01
344,6,6.0,0.8,staggered,2709.5,2927.749999999909,0.93,244,49.18,6,0.94
345,6,8.0,0.2,traditional,-1595.5,3449.049999998975,-0.46,252,72.22,5,-0.23
346,6,8.0,0.2,staggered,1084.5,2014.7499999997963,0.54,207,65.7,5,0.84
347,6,8.0,0.4,traditional,1174.5,3479.749999999818,0.34,255,59.61,5,0.61
348,6,8.0,0.4,staggered,1834.5,3559.7499999998254,0.52,211,51.18,5,0.81
349,6,8.0,0.6,traditional,3254.5,3219.7499999998217,1.01,255,51.37,6,0.99
350,6,8.0,0.6,staggered,2309.5,3324.7499999998545,0.69,226,45.13,6,0.8
351,6,8.0,0.8,traditional,7638.6,2889.7499999998545,2.64,254,48.43,8,1.85
352,6,8.0,0.8,staggered,7363.6,2974.7499999998563,2.48,241,45.64,8,1.84
353,6,10.0,0.2,traditional,444.5,2336.2499999994634,0.19,251,68.13,5,0.53
354,6,10.0,0.2,staggered,2104.5,2481.249999999516,0.85,207,61.35,5,1.11
355,6,10.0,0.4,traditional,2304.5,4064.7499999998,0.57,252,55.16,6,0.83
356,6,10.0,0.4,staggered,1439.5,4629.749999999847,0.31,212,46.7,6,0.63
357,6,10.0,0.6,traditional,6193.6,3024.7499999998345,2.05,253,49.01,6,1.51
358,6,10.0,0.6,staggered,6228.6,3638.8499999998603,1.71,223,42.15,7,1.56
359,6,10.0,0.8,traditional,7378.6,4154.749999999825,1.78,254,44.09,8,1.62
360,6,10.0,0.8,staggered,6983.6,4368.8499999998385,1.6,241,41.08,8,1.58
361,6,12.0,0.2,traditional,954.5,3026.2499999995416,0.32,251,63.75,5,0.63
362,6,12.0,0.2,staggered,1999.5,2564.7499999997963,0.78,205,55.61,5,0.93
363,6,12.0,0.4,traditional,3234.5,3779.649999999876,0.86,255,51.37,6,0.93
