combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
88,1,0.15,0.4,1.6000000000000005,-2312.84,3094.62999999992,-0.75,66.0,28.79,14.0,-2.05
89,1,0.15,0.4,1.7000000000000006,-2590.64,2768.7899999999267,-0.94,36.0,13.89,22.0,-4.16
90,1,0.15,0.4,1.8000000000000007,-1913.24,2101.3899999999508,-0.91,26.0,15.38,15.0,-3.37
91,1,0.15,0.5,1.0,-2161.76,4204.749999999844,-0.51,224.0,36.16,15.0,-0.61
92,1,0.15,0.5,1.1,-2795.4,4403.709999999841,-0.63,210.0,34.76,15.0,-1.04
93,1,0.15,0.5,1.2000000000000002,-2773.2,4084.979999999849,-0.68,180.0,34.44,15.0,-1.19
94,1,0.15,0.5,1.3000000000000003,-2393.66,3829.949999999857,-0.62,159.0,35.22,15.0,-1.06
95,1,0.15,0.5,1.4000000000000004,-2155.16,3433.58999999989,-0.63,134.0,35.07,15.0,-1.07
96,1,0.15,0.5,1.5000000000000004,-1657.18,3184.049999999921,-0.52,107.0,36.45,19.0,-0.88
97,1,0.15,0.5,1.6000000000000005,-2312.84,3094.62999999992,-0.75,66.0,28.79,14.0,-2.05
98,1,0.15,0.5,1.7000000000000006,-2590.64,2768.7899999999267,-0.94,36.0,13.89,22.0,-4.16
99,1,0.15,0.5,1.8000000000000007,-1913.24,2101.3899999999508,-0.91,26.0,15.38,15.0,-3.37
100,1,0.15,0.6,1.0,-2161.76,4204.749999999844,-0.51,224.0,36.16,15.0,-0.61
101,1,0.15,0.6,1.1,-2795.4,4403.709999999841,-0.63,210.0,34.76,15.0,-1.04
102,1,0.15,0.6,1.2000000000000002,-2773.2,4084.979999999849,-0.68,180.0,34.44,15.0,-1.19
103,1,0.15,0.6,1.3000000000000003,-2393.66,3829.949999999857,-0.62,159.0,35.22,15.0,-1.06
104,1,0.15,0.6,1.4000000000000004,-2155.16,3433.58999999989,-0.63,134.0,35.07,15.0,-1.07
105,1,0.15,0.6,1.5000000000000004,-1657.18,3184.049999999921,-0.52,107.0,36.45,19.0,-0.88
106,1,0.15,0.6,1.6000000000000005,-2312.84,3094.62999999992,-0.75,66.0,28.79,14.0,-2.05
107,1,0.15,0.6,1.7000000000000006,-2590.64,2768.7899999999267,-0.94,36.0,13.89,22.0,-4.16
