combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
588,3.0,0.5,6.0,40.0,-393.9,497.75,-0.79,29.0,86.21,2.0,-0.58
589,3.0,0.5,8.0,10.0,-1584.6,1921.0499999999884,-0.82,231.0,86.58,2.0,-0.56
590,3.0,0.5,8.0,20.0,-1553.6,1811.9499999999898,-0.86,196.0,85.71,2.0,-0.73
591,3.0,0.5,8.0,30.0,-882.9,1065.4500000000007,-0.83,69.0,85.51,2.0,-0.84
592,3.0,0.5,8.0,40.0,-639.4,743.8999999999996,-0.86,34.0,85.29,2.0,-0.87
593,3.0,0.5,10.0,10.0,-1438.3,1795.6499999999905,-0.8,238.0,86.97,2.0,-0.4
594,3.0,0.5,10.0,20.0,-1428.2,1686.5499999999902,-0.85,202.0,86.14,2.0,-0.58
595,3.0,0.5,10.0,30.0,-799.3,981.8500000000004,-0.81,73.0,86.3,2.0,-0.7
596,3.0,0.5,10.0,40.0,-597.6,702.1000000000004,-0.85,36.0,86.11,2.0,-0.78
597,3.0,0.5,12.0,10.0,-1396.5,1753.8499999999894,-0.8,240.0,87.08,2.0,-0.36
598,3.0,0.5,12.0,20.0,-1386.4,1644.749999999989,-0.84,204.0,86.27,2.0,-0.53
599,3.0,0.5,12.0,30.0,-757.5,940.0500000000011,-0.81,75.0,86.67,2.0,-0.63
600,3.0,0.5,12.0,40.0,-555.8,660.3000000000011,-0.84,38.0,86.84,2.0,-0.69
601,3.0,1.0,2.0,10.0,-315.4,538.9499999999989,-0.59,19.0,57.89,4.0,-0.71
602,3.0,1.0,2.0,20.0,-316.0,501.64999999999964,-0.63,10.0,50.0,4.0,-1.06
603,3.0,1.0,2.0,30.0,-45.7,91.60000000000036,-0.5,2.0,50.0,1.0,-0.27
604,3.0,1.0,2.0,40.0,-45.7,91.60000000000036,-0.5,2.0,50.0,1.0,-0.27
605,3.0,1.0,4.0,10.0,-252.5,1011.0500000000011,-0.25,150.0,76.0,2.0,0.34
606,3.0,1.0,4.0,20.0,-508.20000000000005,970.0500000000011,-0.52,127.0,75.59,2.0,0.01
607,3.0,1.0,4.0,30.0,-476.9,726.0500000000011,-0.66,34.0,73.53,3.0,-0.56
608,3.0,1.0,4.0,40.0,151.2,268.4499999999989,0.56,18.0,83.33,1.0,0.61
609,3.0,1.0,6.0,10.0,-89.70000000000005,1145.3500000000004,-0.08,217.0,78.8,2.0,0.59
610,3.0,1.0,6.0,20.0,-562.8,1183.75,-0.48,183.0,78.14,2.0,0.15
611,3.0,1.0,6.0,30.0,-491.9,832.6499999999996,-0.59,59.0,77.97,2.0,-0.31
612,3.0,1.0,6.0,40.0,-218.9,672.3500000000004,-0.33,29.0,79.31,2.0,-0.17
613,3.0,1.0,8.0,10.0,-647.1,1304.349999999995,-0.5,231.0,78.79,2.0,0.2
614,3.0,1.0,8.0,20.0,-716.1,1401.0499999999938,-0.51,196.0,78.57,2.0,0.06
615,3.0,1.0,8.0,30.0,-407.9,874.2500000000018,-0.47,69.0,79.71,2.0,-0.14
616,3.0,1.0,8.0,40.0,-364.4,784.0500000000011,-0.46,34.0,79.41,2.0,-0.33
617,3.0,1.0,10.0,10.0,-325.79999999999995,1186.6499999999996,-0.27,238.0,79.41,2.0,0.43
618,3.0,1.0,10.0,20.0,-440.70000000000005,1283.3499999999985,-0.34,202.0,79.21,2.0,0.28
619,3.0,1.0,10.0,30.0,-224.3,690.6500000000015,-0.32,73.0,80.82,2.0,0.08
620,3.0,1.0,10.0,40.0,-272.6,692.25,-0.39,36.0,80.56,2.0,-0.18
621,3.0,1.0,12.0,10.0,-234.0,1186.6499999999996,-0.2,240.0,79.58,2.0,0.5
622,3.0,1.0,12.0,20.0,-348.9,1283.3499999999985,-0.27,204.0,79.41,2.0,0.35
623,3.0,1.0,12.0,30.0,-132.5,598.8500000000022,-0.22,75.0,81.33,2.0,0.2
624,3.0,1.0,12.0,40.0,-180.8,600.4500000000007,-0.3,38.0,81.58,2.0,-0.04
625,3.0,1.5,2.0,10.0,-402.9,705.3500000000004,-0.57,19.0,47.37,4.0,-0.82
626,3.0,1.5,2.0,20.0,-366.0,580.75,-0.63,10.0,40.0,4.0,-1.11
627,3.0,1.5,2.0,30.0,-20.7,91.60000000000036,-0.23,2.0,50.0,1.0,-0.08
628,3.0,1.5,2.0,40.0,-20.7,91.60000000000036,-0.23,2.0,50.0,1.0,-0.08
629,3.0,1.5,4.0,10.0,-1015.0,2057.149999999994,-0.49,150.0,66.0,4.0,-0.29
