combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1071,6.0,6.0,10.0,10.0,4340.1,3105.649999999867,1.4,239.0,48.12,6.0,1.33
1072,6.0,6.0,10.0,12.0,3847.4,3105.649999999867,1.24,236.0,47.46,6.0,1.21
1073,6.0,6.0,10.0,14.0,3083.4,3105.6499999998578,0.99,226.0,46.9,7.0,1.02
1074,6.0,6.0,10.0,16.0,1778.8,3105.6499999998505,0.57,182.0,46.15,6.0,0.7
1075,6.0,6.0,10.0,18.0,-118.80000000000001,3105.6499999998505,-0.04,118.0,45.76,6.0,0.12
1076,6.0,8.0,2.0,10.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1077,6.0,8.0,2.0,12.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1078,6.0,8.0,2.0,14.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1079,6.0,8.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1080,6.0,8.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1081,6.0,8.0,4.0,10.0,-1074.9,4011.04999999981,-0.27,89.0,30.34,8.0,-0.31
1082,6.0,8.0,4.0,12.0,-1160.8,4008.999999999811,-0.29,88.0,29.55,8.0,-0.35
1083,6.0,8.0,4.0,14.0,-1331.2,3587.599999999815,-0.37,82.0,28.05,8.0,-0.44
1084,6.0,8.0,4.0,16.0,-1121.9,2839.2999999998665,-0.4,59.0,27.12,12.0,-0.46
1085,6.0,8.0,4.0,18.0,-2285.7,2283.649999999887,-1.0,27.0,14.81,10.0,-2.02
1086,6.0,8.0,6.0,10.0,1795.6,4584.049999999763,0.39,183.0,38.8,7.0,0.67
1087,6.0,8.0,6.0,12.0,1202.9,4584.049999999763,0.26,180.0,37.78,7.0,0.52
1088,6.0,8.0,6.0,14.0,930.7,4584.049999999754,0.2,172.0,37.21,7.0,0.44
1089,6.0,8.0,6.0,16.0,-1012.6,5951.2499999997435,-0.17,135.0,34.81,7.0,-0.14
