combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1308,30.0,20.0,20.0,70.0,956.7,785.25,1.22,13.0,61.54,2.0,0.79
1309,30.0,20.0,20.0,80.0,514.0,1043.449999999999,0.49,10.0,60.0,2.0,0.5
1310,30.0,20.0,20.0,90.0,-239.6,783.2000000000007,-0.31,6.0,50.0,2.0,-0.24
1311,30.0,20.0,30.0,50.0,860.6,3241.75,0.27,84.0,54.76,6.0,0.33
1312,30.0,20.0,30.0,60.0,-478.9,3789.45,-0.13,79.0,53.16,6.0,-0.04
1313,30.0,20.0,30.0,70.0,909.9,2994.8499999999985,0.3,61.0,57.38,6.0,0.36
1314,30.0,20.0,30.0,80.0,2182.3,1915.7499999999982,1.14,47.0,61.7,4.0,0.85
1315,30.0,20.0,30.0,90.0,2133.4,1837.550000000001,1.16,26.0,65.38,3.0,1.1
1316,30.0,20.0,40.0,50.0,-6023.8,7984.000000000004,-0.75,68.0,50.0,8.0,-1.47
1317,30.0,20.0,40.0,60.0,-5919.9,7880.10000000001,-0.75,89.0,52.81,8.0,-1.24
1318,30.0,20.0,40.0,70.0,-5855.5,7194.400000000006,-0.81,55.0,50.91,8.0,-1.55
1319,30.0,20.0,40.0,80.0,-2505.9,6487.550000000008,-0.39,99.0,58.59,5.0,-0.45
1320,30.0,20.0,40.0,90.0,-6236.8,6632.700000000007,-0.94,48.0,50.0,5.0,-1.73
1321,30.0,20.0,50.0,50.0,-5759.4,6575.000000000014,-0.88,84.0,53.57,5.0,-1.2
1322,30.0,20.0,50.0,60.0,-5520.7,6336.300000000011,-0.87,77.0,54.55,5.0,-1.18
1323,30.0,20.0,50.0,70.0,-5987.0,6382.90000000001,-0.94,70.0,54.29,5.0,-1.33
1324,30.0,20.0,50.0,80.0,2249.7,4495.250000000002,0.5,133.0,63.91,5.0,0.5
1325,30.0,20.0,50.0,90.0,-5675.4,6071.300000000008,-0.93,44.0,52.27,6.0,-1.55
1326,30.0,24.0,10.0,50.0,327.7,109.09999999999854,3.0,3.0,66.67,1.0,1.34
1327,30.0,24.0,10.0,60.0,327.7,109.09999999999854,3.0,3.0,66.67,1.0,1.34
1328,30.0,24.0,10.0,70.0,436.8,2.0499999999992724,213.07,2.0,100.0,0.0,125.87
1329,30.0,24.0,10.0,80.0,436.8,2.0499999999992724,213.07,2.0,100.0,0.0,125.87
1330,30.0,24.0,10.0,90.0,215.9,0.0,inf,1.0,100.0,0.0,
1331,30.0,24.0,20.0,50.0,1186.6,918.9500000000007,1.29,24.0,50.0,3.0,0.71
1332,30.0,24.0,20.0,60.0,954.8,1150.75,0.83,22.0,50.0,3.0,0.6
