combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
156,4,8.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
157,4,8.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
158,4,8.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
159,4,8.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
160,4,8.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
161,4,12.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
162,4,12.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
163,4,12.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
164,4,12.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
165,4,12.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
166,4,12.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
167,4,12.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
168,4,12.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
169,4,16.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
170,4,16.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
171,4,16.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
172,4,16.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
173,4,16.0,0.6,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
174,4,16.0,0.6,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
175,4,16.0,0.8,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
176,4,16.0,0.8,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
177,4,20.0,0.2,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
178,4,20.0,0.2,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
179,4,20.0,0.4,traditional,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
180,4,20.0,0.4,staggered,-5530.2,5528.150000000023,-1.0,119,63.03,4,-2.51
